"","Image1","Image_Date","ForestName.x","Camera.x","Camera_Trap_Days.x","X.1","X","classification_id","subject_ids","ForestType","ForestName.y","choice","behavior_CLIMBING","behavior_DIGGING","behavior_FLYING","behavior_FORAGINGEATING","behavior_INTERACTING","behavior_OTHER","behavior_SITTINGSTANDINGLYING","behavior_WALKINGRUNNING","user_name","workflow_version","SnowDepth","Young","Antlers","Precipitation","Image2","Image3","Camera.y","SDCard","Date_Out","Date_Checked","Camera_Trap_Days.y"
"1","27_08_IMG_0028.JPG","2018-01-12 12:34:51","DON",27,74,637,637,155210761,31428923,"Deciduous ","DON","NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,"barthelmess",123.17,NA,NA,NA,NA,"27_08_IMG_0029.JPG","27_08_IMG_0030.JPG",27,8,"18/12/13","19/02/25",74
"2","27_08_IMG_0031.JPG","2018-01-12 13:13:21","DON",27,74,638,638,156659523,31428924,"Deciduous ","DON","NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,"meghankelly898",123.17,NA,NA,NA,NA,"27_08_IMG_0032.JPG","27_08_IMG_0033.JPG",27,8,"18/12/13","19/02/25",74
"3","27_08_IMG_0034.JPG","2018-01-12 15:27:21","DON",27,74,639,639,156386044,31428925,"Deciduous ","DON","DEERWHITETAILED",0,0,0,0,0,0,0,1,"barthelmess",123.17,"2030CM","YES",NA,"NO","27_08_IMG_0035.JPG","27_08_IMG_0036.JPG",27,8,"18/12/13","19/02/25",74
"4","27_08_IMG_0037.JPG","2018-01-13 11:48:25","DON",27,74,640,640,155772298,31428926,"Deciduous ","DON","NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,"keandy16",123.17,NA,NA,NA,NA,"27_08_IMG_0038.JPG","27_08_IMG_0039.JPG",27,8,"18/12/13","19/02/25",74
"5","27_08_IMG_0040.JPG","2018-01-13 11:53:43","DON",27,74,641,641,156714943,31428927,"Deciduous ","DON","NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,"seauch15",123.17,NA,NA,NA,NA,"27_08_IMG_0041.JPG","27_08_IMG_0042.JPG",27,8,"18/12/13","19/02/25",74
"6","27_08_IMG_0043.JPG","2018-02-08 17:44:50","DON",27,74,642,642,156036081,31428928,"Deciduous ","DON","DEERWHITETAILED",0,0,0,0,0,0,0,1,"keandy16",123.17,"1020CM","NO","NO","NO","27_08_IMG_0044.JPG","27_08_IMG_0045.JPG",27,8,"18/12/13","19/02/25",74
"7","27_08_IMG_0046.JPG","2018-02-25 16:57:14","DON",27,74,643,643,156001325,31428929,"Deciduous ","DON","NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,"LJKinsey",123.17,NA,NA,NA,NA,"27_08_IMG_0047.JPG","27_08_IMG_0048.JPG",27,8,"18/12/13","19/02/25",74
"8","33_01_WF_0001.JPG","2018-11-12 17:15:54","WF",33,75,869,869,154692546,31429155,"Pine ","WF","HUMAN",0,0,0,0,0,0.333333333,0.333333333,0.333333333,"Hartk",123.17,NA,NA,NA,"NO","33_01_WF_0002.JPG","33_01_WF_0003.JPG",33,1,"18/11/17","19/01/31",75
"9","25_09_SH_0001.JPG","2018-11-13 15:52:00","SH",25,89,609,609,155211177,31428895,"Deciduous ","SH","HUMAN",0,0,0,0,0.666666667,0.333333333,0,0,"barthelmess",123.17,NA,NA,NA,"NO","25_09_SH_0002.JPG","25_09_SH_0003.JPG",25,9,"18/11/14","19/02/11",89
"10","25_09_SH_0004.JPG","2018-11-13 15:53:46","SH",25,89,610,610,155882930,31428896,"Deciduous ","SH","DOMESTICDOG",0,0,0,0,0.25,0,0.75,0.25,"barthelmess",123.17,"010CM","NO",NA,"NO","25_09_SH_0005.JPG","25_09_SH_0006.JPG",25,9,"18/11/14","19/02/11",89
"11","25_09_SH_0007.JPG","2018-11-13 15:54:51","SH",25,89,611,611,156386652,31428897,"Deciduous ","SH","DOMESTICDOG",0,0,0,0,0,0,0.25,0.75,"barthelmess",123.17,"010CM","NO",NA,"NO","25_09_SH_0008.JPG",NA,25,9,"18/11/14","19/02/11",89
"12","25_09_SH_0012.JPG","2018-11-13 15:57:48","SH",25,89,612,612,156587552,31428898,"Deciduous ","SH","DOMESTICDOG",0,0,0,0.333333333,0,0.333333333,0,0.333333333,"LJKinsey",123.17,"010CM","NO",NA,"NO","25_09_SH_0013.JPG","25_09_SH_0014.JPG",25,9,"18/11/14","19/02/11",89
"13","03_05_SH_000001.JPG","2018-11-14 16:00:10","SH",3,89,1,1,155951222,31428286,"Deciduous ","SH","NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,"anvon15",123.17,NA,NA,NA,NA,"03_05_SH_000002.JPG","03_05_SH_000003.JPG",3,5,"18/11/14","19/02/11",89
"14","25_09_SH_0015.JPG","2018-11-14 22:06:29","SH",25,89,613,613,156874331,31428899,"Deciduous ","SH","OTHERSMALLMAMMAL",0,0,0,0,0,0,0,1,"meghankelly898",123.17,"010CM","NO",NA,"NO","25_09_SH_0016.JPG","25_09_SH_0017.JPG",25,9,"18/11/14","19/02/11",89
"15","25_09_SH_0018.JPG","2018-11-15 00:59:25","SH",25,89,614,614,155944036,31428900,"Deciduous ","SH","NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,"anvon15",123.17,NA,NA,NA,NA,"25_09_SH_0019.JPG","25_09_SH_0020.JPG",25,9,"18/11/14","19/02/11",89
"16","25_09_SH_0021.JPG","2018-11-15 10:10:21","SH",25,89,615,615,155932603,31428901,"Deciduous ","SH","DEERWHITETAILED",0,0,0,0,0,0.5,0.5,0.5,"barthelmess",123.17,"010CM","NO","NO","NO","25_09_SH_0022.JPG","25_09_SH_0023.JPG",25,9,"18/11/14","19/02/11",89
"17","25_09_SH_0024.JPG","2018-11-15 10:11:26","SH",25,89,616,616,154692435,31428902,"Deciduous ","SH","DEERWHITETAILED",0,0,0,1,0,0,0,0.25,"not-logged-in-d0b06505b62640b2f255",123.17,"010CM","YES","NO","NO","25_09_SH_0025.JPG","25_09_SH_0026.JPG",25,9,"18/11/14","19/02/11",89
"18","25_09_SH_0027.JPG","2018-11-15 10:12:40","SH",25,89,617,617,156705734,31428903,"Deciduous ","SH","DEERWHITETAILED",0,0,0,0,0,0,0,1,"seauch15",123.17,"010CM","NO","NO","NO","25_09_SH_0028.JPG","25_09_SH_0029.JPG",25,9,"18/11/14","19/02/11",89
"19","25_09_SH_0030.JPG","2018-11-15 10:13:47","SH",25,89,618,618,154706969,31428904,"Deciduous ","SH","DEERWHITETAILED",0,0,0,0.8,0,0,0.2,0.4,"HMonnat",123.17,"010CM","NO","NO","NO","25_09_SH_0031.JPG","25_09_SH_0032.JPG",25,9,"18/11/14","19/02/11",89
"20","25_09_SH_0033.JPG","2018-11-15 10:14:52","SH",25,89,619,619,155997430,31428905,"Deciduous ","SH","DEERWHITETAILED",0,0,0,0,0,0,0,1,"LJKinsey",123.17,"010CM","NO","NO","NO","25_09_SH_0034.JPG","25_09_SH_0035.JPG",25,9,"18/11/14","19/02/11",89
"21","25_09_SH_0036.JPG","2018-11-15 11:46:50","SH",25,89,620,620,156483683,31428906,"Deciduous ","SH","SQUIRRELGRAY",0,0,0,0,0,0,0,1,"kdmccr18",123.17,"1020CM","NO",NA,"NO","25_09_SH_0037.JPG","25_09_SH_0038.JPG",25,9,"18/11/14","19/02/11",89
"22","24_04_BC_0001.JPG","2018-11-15 12:33:22","BC",24,109,579,579,155945117,31428865,"Deciduous ","BC","HUMAN",0,0,0,0,0,0.5,0.5,0,"anvon15",123.17,"010CM",NA,NA,"NO","24_04_BC_0002.JPG","24_04_BC_0003.JPG",24,4,"18/11/15","19/03/04",109
"23","24_04_BC_0004.JPG","2018-11-15 12:34:27","BC",24,109,580,580,154695896,31428866,"Deciduous ","BC","HUMAN",0,0,0,0,0,0,1,0,"HMonnat",123.17,"010CM",NA,NA,"NO","24_04_BC_0005.JPG","24_04_BC_0006.JPG",24,4,"18/11/15","19/03/04",109
"24","24_04_BC_0007.JPG","2018-11-15 12:35:36","BC",24,109,581,581,156319220,31428867,"Deciduous ","BC","HUMAN",0,0,0,0,0,0.5,0.5,0.5,"anvon15",123.17,"010CM",NA,NA,"NO","24_04_BC_0008.JPG","24_04_BC_0009.JPG",24,4,"18/11/15","19/03/04",109
"25","24_04_BC_0010.JPG","2018-11-15 12:36:41","BC",24,109,582,582,156325711,31428868,"Deciduous ","BC","HUMAN",0,0,0,0,0.333333333,0.166666667,0.333333333,0.5,"anvon15",123.17,"010CM",NA,NA,"NO","24_04_BC_0011.JPG","24_04_BC_0012.JPG",24,4,"18/11/15","19/03/04",109
"26","24_04_BC_0013.JPG","2018-11-15 12:37:46","BC",24,109,583,583,155219259,31428869,"Deciduous ","BC","HUMAN",0,0,0,0,0.333333333,0,0.333333333,0.333333333,"not-logged-in-7c1b6498a0e76856e726",123.17,NA,NA,NA,NA,"24_04_BC_0014.JPG","24_04_BC_0015.JPG",24,4,"18/11/15","19/03/04",109
"27","24_04_BC_0016.JPG","2018-11-15 12:38:51","BC",24,109,584,584,156033934,31428870,"Deciduous ","BC","HUMAN",0,0,0,0,0,0.2,0.6,0.2,"keandy16",123.17,"010CM",NA,NA,"NO","24_04_BC_0017.JPG","24_04_BC_0018.JPG",24,4,"18/11/15","19/03/04",109
"28","24_04_BC_0019.JPG","2018-11-15 12:39:56","BC",24,109,585,585,156861065,31428871,"Deciduous ","BC","HUMAN",0,0,0,0,0,0,1,0,"emmaoldow",123.17,"010CM",NA,NA,"NO","24_04_BC_0020.JPG","24_04_BC_0021.JPG",24,4,"18/11/15","19/03/04",109
"29","24_04_BC_0022.JPG","2018-11-15 12:41:01","BC",24,109,586,586,156328076,31428872,"Deciduous ","BC","HUMAN",0,0,0,0,0,1,0,0,"anvon15",123.17,"010CM",NA,NA,"NO","24_04_BC_0023.JPG","24_04_BC_0024.JPG",24,4,"18/11/15","19/03/04",109
